T_1a-lh,T_1b-lh,T_2a-LH,T_sat.lh,S.H_lh coil,D_coil lh,H_coil lh,S_coil lh,T_1a-ctr,T_1b-ctr,T_2a-ctr,T_sat.ctr,S.H_ctr coil,D_coil ctr,H_coil ctr,S_coil ctr,T_1a-rh,T_1c-rh,T_2a-RH,T_sat.rh,S.H_rh coil,D_coil rh,H_coil rh,S_coil rh,P_suction,T_2b,T_sat.comp.in,S.H_total,D_comp.in,H_comp.in,S_comp.in,T_3a,rpm,T_3b,P_disch,T_4a,T_sat.cond,S.C,T_4b-lh,T_sat.txv.lh,S.C-txv.lh,H_txv.lh,T_4b-ctr,T_sat.txv.ctr,S.C-txv.ctr,H_txv.ctr,T_4b-rh,T_sat.txv.rh,S.C-txv.rh,H_txv.rh,h_2b,h_3a,h_3b,h_4a,h_2a_LH,h_2a_CTR,h_2a_RH,h_4b_LH,h_4b_CTR,h_4b_RH,P_suc,P_cond
32.256726,32.256726,46.414879,32.991720358535716,13.42315864146434,10.122468123901852,588.5060752891575,2.418766343797761,32.304421,32.304421,40.002484,32.991720358535716,7.01076364146428,10.307106892385768,582.2717544648292,2.3964510284499947,32.250822,32.250822,40.271475,32.991720358535716,7.279754641464296,10.299178256413498,582.5329388860098,2.3973916555051664,55.279267,55.692539,32.991720358535716,22.70081864146423,9.87035085365327,597.5610008060697,2.4506802531596246,116.544471,0.0,112.686667,56.057732,74.572476,33.64754231578827,-40.924933684211716,55.964006,33.64754231578827,-22.31646368421182,597.6242086308108,55.889995,33.64754231578827,-22.24245268421181,597.5516832936063,52.04594,33.64754231578827,-18.398397684211865,593.788994369505,597.5610008060697,658.3868336003202,654.4189804545696,615.9706684480354,588.5060752891575,582.2717544648292,582.5329388860098,597.6242086308108,597.5516832936063,593.788994369505,482490.25094091997,487857.58028432005
32.228759,32.228759,45.925905,32.778186315426424,13.14771868457367,10.095145523910327,588.0997865861825,2.417932414495119,32.33157,32.33157,39.840758,32.778186315426424,7.062571684573572,10.26981102417871,582.1873532496122,2.3967555942233343,32.245336,32.245336,40.001693,32.778186315426424,7.223506684573659,10.265086261218789,582.343525514487,2.397318274399417,55.027182,60.642456,32.778186315426424,27.864269684573664,9.703492067557086,602.4756631426964,2.468381034322479,105.916683,0.0,99.30856,56.069403,74.898739,33.65733366354425,-41.2414053364559,50.6393,33.65733366354425,-16.98196633645574,592.4109644078618,50.38103,33.65733366354425,-16.72369633645574,592.1586296530002,45.516927,33.65733366354425,-11.859593336455816,587.4123310169063,602.4756631426964,647.4894801098201,640.7707199977198,616.2917981042085,588.0997865861825,582.1873532496122,582.343525514487,592.4109644078618,592.1586296530002,587.4123310169063,480752.18536632,487938.04902828
32.258781,32.258781,45.352143,32.74610305592593,12.606039944074155,10.105100038802835,587.5521160958154,2.416073474544535,32.320916,32.320916,39.440486,32.74610305592593,6.694382944074164,10.275270477793262,581.8098855685115,2.3954863362756487,32.2522,32.2522,39.715404,32.74610305592593,6.969300944074121,10.267184737649368,582.0766117837782,2.3964479971138894,54.989365,64.032378,32.74610305592593,31.286274944074034,9.613033188042156,605.8149377020865,2.4799887297306205,98.233121,34.428727,90.785444,56.448048,75.123661,33.97434679445977,-41.14931420554037,48.162382,33.97434679445977,-14.188035205540222,589.8886161336322,47.531866,33.97434679445977,-13.557519205540256,589.2729824936973,43.216853,33.97434679445977,-9.242506205540327,585.0645098996017,605.8149377020865,639.6032684359518,632.083954540927,616.4269767002338,587.5521160958154,581.8098855685115,582.0766117837782,589.8886161336322,589.2729824936973,585.0645098996017,480491.4462274,490548.71542848006
32.323323,32.323323,44.64649,32.57282624432421,12.073663755675943,10.09163949949335,586.9227401388094,2.414325415121754,32.400512,32.400512,39.426778,32.57282624432421,6.853951755675871,10.241614570408572,581.8554410704743,2.396145063757838,32.275245,32.275245,39.379785,32.57282624432421,6.806958755675896,10.242992231192815,581.8098701539662,2.395980703827534,54.785385,66.089807,32.57282624432421,33.516980755675796,9.53167839733461,607.8894050046864,2.4876088403963683,92.712053,19.433036,85.709469,54.349291,75.375325,32.201099093183885,-43.17422590681616,46.613601,32.201099093183885,-14.41250190681618,588.9553188832667,45.830407,32.201099093183885,-13.629307906816189,588.1941527165313,42.093759,32.201099093183885,-9.89265990681614,584.5665431761262,607.8894050046864,634.4675520422135,627.4470580259625,617.1635013451544,586.9227401388094,581.8554410704743,581.8098701539662,588.9553188832667,588.1941527165313,584.5665431761262,479085.05308259994,476078.28961515997
32.287169,32.287169,44.467273,33.149129204813995,11.318143795186085,10.208159408360231,586.5586218457844,2.411376236667249,32.323814,32.323814,39.078159,33.149129204813995,5.929029795185988,10.365687901774335,581.3204697716569,2.3925730002371877,32.280058,32.280058,39.140208,33.149129204813995,5.991078795185979,10.363836545348477,581.3807173933599,2.3927904225410206,55.465528,67.467833,33.149129204813995,34.318703795185954,9.601140348523758,609.0819820126766,2.490010368510189,89.099558,4.069404,82.759982,53.445795,75.621385,31.425359068187333,-44.19602593181274,46.251951,31.425359068187333,-14.826591931812823,588.8519017518223,44.791498,31.425359068187333,-13.366138931812703,587.4353777367188,41.774433,31.425359068187333,-10.349073931812745,584.5123007111258,609.0819820126766,631.0340087757463,624.703138925413,617.6155220208248,586.5586218457844,581.3204697716569,581.3807173933599,588.8519017518223,587.4353777367188,584.5123007111258,483774.47583327995,469848.90153419995
32.552087,32.552087,44.974452,33.329714671035354,11.644737328964698,10.228755878246783,586.992492350423,2.412408944837538,32.41778,32.41778,39.973316,33.329714671035354,6.643601328964746,10.374849460505299,582.1280231259714,2.3949715085540353,32.302987,32.302987,39.334957,33.329714671035354,6.005242328964698,10.393906545763189,581.5078025762938,2.3927356921135674,55.679668,68.631602,33.329714671035354,35.30188732896473,9.605155837951587,610.1788518001533,2.493227271786569,86.27839,52.391717,80.953117,56.041199,75.451707,33.63366995147264,-41.81803704852749,42.956837,33.63366995147264,-9.323167048527353,584.9264889411581,44.350494,33.63366995147264,-10.71682404852736,586.2836610497902,41.431939,33.63366995147264,-7.7982690485273904,583.442400514031,610.1788518001533,627.646462322905,622.3228747653602,616.84741546948,586.992492350423,582.1280231259714,581.5078025762938,584.9264889411581,586.2836610497902,583.442400514031,485250.91973967996,487743.58921724
33.503016,33.503016,45.612013,33.15488011552914,12.457132884470933,10.176635505730225,587.670956759812,2.4153268427331858,32.462688,32.462688,40.482991,33.15488011552914,7.328110884470879,10.325126267985642,582.6829022417581,2.397466793555801,32.309075,32.309075,39.37495,33.15488011552914,6.2200698844709335,10.35798119476077,581.6066854789383,2.393589301944755,55.47234,70.022536,33.15488011552914,36.86765588447091,9.540430265916472,611.6027646778609,2.4985804872685597,84.131391,48.758183,79.8654,53.883441,74.177294,31.80207155263853,-42.37522244736156,36.410628,31.80207155263853,-4.608556447361536,579.1971553757294,44.160115,31.80207155263853,-12.358043447361581,586.7016092933666,41.288946,31.80207155263853,-9.486874447361515,583.9183028379857,611.6027646778609,625.9734573999773,621.7256504900336,616.0852444942427,587.670956759812,582.6829022417581,581.6066854789383,579.1971553757294,586.7016092933666,583.9183028379857,483821.4429384,472866.36566916
35.270562,35.270562,46.411916,35.08456162217733,11.327354377822667,10.532667923445588,587.807860868949,2.4103297847211347,33.692172,33.692172,40.646847,35.08456162217733,5.5622853778226276,10.7076341032915,582.1747492534712,2.390179340777639,32.269417,32.269417,39.328584,35.08456162217733,4.244022377822716,10.748767788669808,580.8882628046516,2.3855448146463107,57.785996,70.243425,35.08456162217733,35.15886337782263,9.883070936069089,611.2667341475399,2.4918575716960745,82.942818,165.897895,79.344833,55.094911,74.217439,32.83561401404253,-41.381824985957465,41.624754,32.83561401404253,-8.78913998595749,583.8998448792407,44.434882,32.83561401404253,-11.599267985957477,586.6306946161446,41.08659,32.83561401404253,-8.250975985957542,583.377236667658,611.2667341475399,624.5197087728498,620.934376883836,615.8431133949954,587.807860868949,582.1747492534712,580.8882628046516,583.8998448792407,586.6306946161446,583.377236667658,499773.54578096,481219.16056636
39.578787,39.578787,47.627038,40.42205275941842,7.204985240581664,11.60775283421846,587.1174894719643,2.3930496485873474,35.906789,35.906789,42.101279,40.42205275941842,1.6792262405816132,11.79913560574855,581.6424683473834,2.373516529098832,32.329134,32.329134,40.043265,40.42205275941842,-0.37878775941828735,522.4943754388518,211.25292905936692,1.0403689293429803,64.481143,70.043401,40.42205275941842,29.621348240581643,10.910566994659412,609.4379362390999,2.470544796242632,82.139591,112.0,79.179102,63.164781,74.516168,39.39985155260281,-35.11631644739718,45.174918,39.39985155260281,-5.775066447397182,585.0674294246655,44.239937,39.39985155260281,-4.840085447397269,584.1436021690768,41.467697,39.39985155260281,-2.067845447397224,581.4055861731931,609.4379362390999,621.8962191922419,618.9170630950819,614.2371168193765,587.1174894719643,581.6424683473834,211.25292905936692,585.0674294246655,584.1436021690768,581.4055861731931,545934.9775106801,536858.9774475599
43.396821,43.396821,48.875376,43.90546770103365,4.969908298966459,12.345072324279549,587.0397201473598,2.383365067609916,40.517891,40.517891,43.695089,43.90546770103365,-0.2103787010336305,519.6722521298503,216.41176170110478,1.0586648230155062,32.600642,32.600642,42.476893,43.90546770103365,-1.4285747010335967,520.640954592668,214.69205384486477,1.052507811843194,69.091216,70.003213,43.90546770103365,26.09774529896638,11.629392120802061,608.2526039500056,2.45692862934095,81.69692,0.0,79.056815,67.620991,74.888476,42.81032738372966,-32.07814861627041,47.022016,42.81032738372966,-4.211688616270453,585.612923426718,43.365559,42.81032738372966,-0.5552316162703619,581.9658223106926,42.776045,42.81032738372966,0.034282383729544105,215.10946627586083,608.2526039500056,620.4224509897274,617.7504600703804,613.5406980252093,587.0397201473598,216.41176170110478,214.69205384486477,585.612923426718,581.9658223106926,215.10946627586083,577720.3244281601,567583.4759071601
